id,Item_Identifier_x,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,name,phoneNumber,address
117,FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.609,Olivia Ayers,914-856-4679,"46299 Williams Isle
North Julie, PW 35704"
118,FDI48,11.85,Regular,0.0560336,Baking Goods,51.4666,OUT017,2007,Medium,Tier 2,Supermarket Type1,974.065,Alicia Roth,447-132-4754x6913,"785 Zachary Estate Apt. 486
Port Melissa, FM 75038"
119,FDP36,11.85,Regular,0.0,Baking Goods,51.9008,OUT027,1985,Medium,Tier 3,Supermarket Type3,2595.04,Corey Whitaker,3070534578,"035 Wheeler Fall
Matthewsstad, MI 21933"
120,FDP36,10.395,Regular,0.0911552,Baking Goods,52.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,569.759,Deanna Rivas,406-029-3333,"007 Deborah Rapid Apt. 349
Jenniferview, NE 49846"
121,FDY24,4.88,Regular,0.22344,Baking Goods,52.2298,OUT010,1998,Medium,Tier 3,Grocery Store,161.789,Judy Robinson,896-910-8589x9441,"5444 Edward Track Apt. 096
Erintown, SD 65692"
122,FDY12,9.8,Regular,0.140584,Baking Goods,52.3008,OUT035,2004,Small,Tier 2,Supermarket Type1,538.175,Deanna Barnes MD,9935387584,"1724 Stacey Isle
East Michaelport, MT 43927"
123,FDP36,10.395,Regular,0.0910965,Baking Goods,52.3008,OUT013,1987,High,Tier 3,Supermarket Type1,2226.44,Kevin Ford,709-991-7381,"460 Derrick Flats Suite 697
West Michelle, HI 11093"
124,FDI48,11.85,Regular,0.0554486,Baking Goods,52.3666,OUT027,1985,Medium,Tier 3,Supermarket Type3,944.417,Mr. Christopher Walters,7432927129,"6760 Amanda Street Suite 058
North Erica, SC 96655"
125,FDY24,11.85,Regular,0.233729,Baking Goods,52.4298,OUT019,1985,Small,Tier 1,Grocery Store,224.318,Michael Cooper,(168)942-1044,"2575 Frederick Valleys Suite 033
East Jessica, OR 66644"
126,FDY12,9.8,Regular,0.14083,Baking Goods,52.5008,OUT049,1999,Medium,Tier 1,Supermarket Type1,565.959,Jacob Santos,6489090100,"6184 Miles Ford Apt. 461
Cindyberg, MT 14252"
127,FDI48,9.8,Regular,0.0975557,Baking Goods,52.7666,OUT019,1985,Small,Tier 1,Grocery Store,540.887,Lisa Campbell,739-348-3564,"75300 Rebecca Village Suite 218
Lake Jenniferview, SD 30799"
